FULLNAME	PROCEDURENAME	CHANNEL	SAMPLETYPE	SAMPLEDESCRIPTION	ONTIME	Seq	Time(sec)	Value
Clermont Demo		1	CRT		02/03/2016 10:34:22 AM
						0	0	0.25
						1	5	0.25
						2	10	0.25
						3	15	0.25
						4	20	0.25
						5	25	0.25
						6	30	0.390625
						7	35	0.765625
						8	40	1.28125
						9	45	1.75
						10	50	2.453125
						11	55	3.578125
						12	60	5.078125
						13	65	7.09375
						14	70	9.4375
						15	75	11.96875
						16	80	14.6875
						17	85	17.359375
						18	90	19.984375
						19	95	22.796875
						20	100	25.515625
						21	105	28.09375
						22	110	30.765625
						23	115	33.4375
						24	120	36.109375
						25	125	38.78125
						26	130	41.265625
						27	135	43.796875
						28	140	46.28125
						29	145	48.671875
						30	150	50.96875
						31	155	53.3125
						32	160	55.703125
						33	165	57.90625
						34	170	60.0625
						35	175	62.125
						36	180	64.140625
						37	185	66.109375
						38	190	68.03125
						39	195	69.859375
						40	200	71.6875
						41	205	73.515625
						42	210	75.203125
						43	215	76.796875
						44	220	78.390625
						45	225	79.890625
						46	230	81.390625
						47	235	82.796875
						48	240	84.25
						49	245	85.65625
						50	250	86.96875
						51	255	88.1875
						52	260	89.40625
						53	265	90.625
						54	270	91.84375
						55	275	92.96875
						56	280	93.953125
						57	285	95.03125
						58	290	96.109375
						59	295	97.140625
						60	300	98.125
						61	305	99.015625
						62	310	99.859375
						63	315	100.703125
						64	320	101.640625
						65	325	102.484375
						66	330	103.28125
						67	335	104.03125
						68	340	104.78125
						69	345	105.484375
						70	350	106.1875
						71	355	106.890625
						72	360	107.59375
						73	365	108.203125
						74	370	108.71875
						75	375	109.28125
						76	380	109.890625
						77	385	110.453125
						78	390	111.015625
						79	395	111.578125
						80	400	112.09375
						81	405	112.5625
						82	410	113.078125
						83	415	113.546875
						84	420	114.0625
						85	425	114.53125
						86	430	115
						87	435	115.421875
						88	440	115.84375
						89	445	116.21875
						90	450	116.59375
						91	455	117.015625
						92	460	117.4375
						93	465	117.8125
						94	470	118.234375
						95	475	118.5625
						96	480	118.9375
						97	485	119.265625
						98	490	119.59375
						99	495	119.875
						100	500	120.109375
						101	505	120.4375
						102	510	120.71875
						103	515	121
						104	520	121.1875
						105	525	121.375
						106	530	121.703125
						107	535	122.03125
						108	540	122.265625
						109	545	122.5
						110	550	122.828125
						111	555	123.109375
						112	560	123.34375
						113	565	123.53125
						114	570	123.765625
						115	575	124
						116	580	124.234375
						117	585	124.46875
						118	590	124.796875
						119	595	125.03125
						120	600	125.078125
						121	605	125.265625
						122	610	125.5
						123	615	125.734375
						124	620	125.921875
						125	625	126.109375
						126	630	126.296875
						127	635	126.4375
						128	640	126.625
						129	645	126.8125
						130	650	127
						131	655	127.09375
						132	660	127.234375
						133	665	127.46875
						134	670	127.65625
						135	675	127.75
						136	680	127.890625
						137	685	128.03125
						138	690	128.171875
						139	695	128.359375
						140	700	128.5
						141	705	128.59375
						142	710	128.6875
						143	715	128.78125
						144	720	128.875
						145	725	128.921875
						146	730	129.0625
						147	735	129.25
						148	740	129.34375
						149	745	129.484375
						150	750	129.578125
						151	755	129.625
						152	760	129.71875
						153	765	129.859375
						154	770	129.953125
						155	775	130.09375
						156	780	130.1875
						157	785	130.28125
						158	790	130.421875
						159	795	130.5625
						160	800	130.609375
						161	805	130.609375
						162	810	130.75
						163	815	130.9375
						164	820	131.03125
						165	825	131.125
						166	830	131.171875
						167	835	131.21875
						168	840	131.265625
						169	845	131.359375
						170	850	131.453125
						171	855	131.546875
						172	860	131.6875
						173	865	131.734375
						174	870	131.734375
						175	875	131.734375
						176	880	131.828125
						177	885	131.921875
						178	890	131.96875
						179	895	132.015625
						180	900	132.109375
						181	905	132.203125
						182	910	132.25
						183	915	132.34375
						184	920	132.390625
						185	925	132.4375
						186	930	132.4375
						187	935	132.484375
						188	940	132.578125
						189	945	132.625
						190	950	132.625
						191	955	132.671875
						192	960	132.765625
						193	965	132.859375
						194	970	132.859375
						195	975	132.90625
						196	980	132.953125
						197	985	133
						198	990	133
						199	995	133.046875
						200	1000	133.09375
						201	1005	133.140625
						202	1010	133.1875
						203	1015	133.1875
						204	1020	133.234375
						205	1025	133.328125
						206	1030	133.328125
						207	1035	133.375
						208	1040	133.375
						209	1045	133.375
						210	1050	133.46875
						211	1055	133.515625
						212	1060	133.5625
						213	1065	133.5625
						214	1070	133.5625
						215	1075	133.65625
						216	1080	133.703125
						217	1085	133.703125
						218	1090	133.703125
						219	1095	133.703125
